,navpu,psei_price,inflation_actual
2019-04-26,-1.8058262,-0.61478704,0.2363229
2019-04-29,-1.5496053,-0.45543393,0.27586934
2019-04-30,-1.48933,-0.14659727,0.31541577
2019-05-02,-1.3235449,0.12425861,0.3549622
2019-05-03,-1.3461509,-0.061985992,0.39450863
2019-05-06,-1.2632582,-0.647944,0.4142822
2019-05-07,-1.2255777,-0.37997133,0.43405506
2019-05-08,-1.120079,-0.29092434,0.4736015
2019-05-09,-1.0673239,-1.2394466,0.51314795
2019-05-10,-1.1728226,-1.3138558,0.5526944
2019-05-14,-1.1502166,-1.8435911,0.5922415
2019-05-15,-1.1050044,-2.2314389,0.63178796
2019-05-17,-1.0974729,-2.1920166,0.6713344
2019-05-20,-1.142685,-1.7688493,0.7108808
2019-05-21,-1.0748669,-1.4282972,0.75042725
2019-05-22,-0.9919743,-0.9098175,0.7899737
2019-05-23,-0.9919743,-0.9710304,0.8295201
2019-05-24,-0.90908164,-1.2867424,0.8690673
2019-05-24,-0.90908164,-1.2867424,0.90861374
2019-05-27,-0.8337205,-1.4091682,0.9481602
2019-05-28,-0.6980843,-1.2080085,0.9877073
2019-05-29,-0.69054127,-1.0058508,1.027253
2019-05-30,-0.6980843,-0.79071856,1.0668002
2019-05-31,-0.5398305,-0.05067492,1.1063459
2019-06-03,-0.49461845,0.5861829,1.1458931
2019-06-04,-0.37404525,-0.18735039,1.1854388
2019-06-05,-0.23839752,-0.14717945,1.224986
2019-06-06,-0.10276129,-0.1070085,1.1261195
2019-06-07,-0.09522978,0.026728315,1.027253
2019-06-10,0.23634078,0.3672249,0.92838657
2019-06-11,0.16852266,0.2873266,0.8295209
2019-06-13,0.2514153,0.4025443,0.7306544
2019-06-14,0.1308421,0.061216,0.6317887
2019-06-17,0.15344813,-0.38906455,0.53292227
2019-06-18,0.27402133,-0.31670696,0.4340558
2019-06-19,0.371977,0.20986791,0.33518934
2019-06-20,0.40965757,0.23986444,0.2363229
2019-06-21,0.44733813,0.42311493,0.13745718
2019-06-24,0.40212604,0.45144805,0.03859073
2019-06-26,0.50762475,0.19079433,-0.060275722
2019-06-27,0.67341,0.4351468,-0.15914144
2019-06-28,0.6809415,0.113945566,-0.25800788
2019-07-01,0.6809415,0.35790992,-0.35687435
2019-07-02,0.7186221,0.6345322,-0.45574078
2019-07-03,0.81658924,0.6294311,-0.5546072
2019-07-04,0.944694,0.47551182,-0.65347296
2019-07-05,0.9032419,0.4383627,-0.7523394
2019-07-08,0.8618013,0.4012136,-0.8512066
2019-07-09,0.8768644,0.34865037,-0.95007306
2019-07-10,0.7412281,0.5492001,-1.0489395
2019-07-11,0.9220879,0.9721456,-1.1478059
2019-07-12,1.0200436,0.9018949,-1.2466731
2019-07-15,1.0426496,2.1409566,-1.3455396
2019-07-16,1.1180108,1.5769554,-1.444406
2019-07-17,1.1858288,1.410117,-1.5432725
2019-07-18,0.95222545,1.5463489,-1.6421397
2019-07-19,1.3516141,1.6129956,-1.7410061
2019-07-22,1.5098679,1.484138,-1.8398726
2019-07-23,1.7585459,1.5098097,-1.9387398
2019-07-24,1.8037579,1.0109581,-2.0376062
2019-07-25,1.8866506,1.6246948,-2.1364727
2019-07-26,1.6982592,1.1357126,-2.2353392
